web_site,name_ar,name_fr,name_en,region_ar,region_fr,region_en
http://ens.univ-mosta.dz/, المدرسة العليا للأساتذة بمستغانم,Ecole Normale Supérieure de Mostaganem,Ecole Normale Superieure of Mostaganem,الغرب,ouest,west
http://ensb.univ-bechar.dz/ensb/?page_id=41,المدرسة العليا للأساتذة ببشار,Ecole Normale Supérieure d'Oran,Ecole Normale Superieure  of Oran,الغرب,ouest,west
http://www.ensb.dz/,المدرسة العليا للأساتذة بوزريعة الشيخ مبارك بن محمد إبراهيمي الميلي الجزائري,Ecole normale supérieure de Bouzaréah - Cheikh Mubarak Ben Mohamed Brahimi El Mili,Ecole normale superieure of Bouzareah - Cheikh Mubarak Ben Mohamed Brahimi El Mili,الوسط,centre,center
http://www.ens-kouba.dz,المدرسة العليا للأساتذة القبة الشيخ محمد البشير الإبراهيمي,Ecole normale supérieure de Kouba - Mohamed Bachir El Ibrahimi,Ecole normale superieure of Kouba - Mohamed Bachir El Ibrahimi,الوسط,centre,center
https://ensl.joomla.com/index.php/ar/,المدرسة العليا للأساتذة بالأغواط - طالب عبد الرحمان,Ecole normale supérieure de Laghouat - Taleb Abderrahmane,Ecole normale superieure of Laghouat - Taleb Abderrahmane,الوسط,centre,center
http://www.ens-constantine.dz/,المدرسة العليا للأساتذة الآداب والعلوم الانسانية قسنطينة الكاتبة آسيا جبار,Ecole normale supérieure de Constantine -Assia Djebar,Ecole normale superieure of Constantine -Assia Djebar,الشرق,est,east
http://www.ens-setif.dz/,المدرسة العليا للأساتذة سطيف المجاهد مسعود زغار,Ecole normale supérieure d'enseignement technologique de Skikda,Ecole normale superieure  of enseignement technologique of Skikda,الشرق,est,east
http://www.ens-bousaada.dz/ar/,المدرسة العليا للأساتذة بوسعادة,Ecole normale supérieure de setif - Messaoud Zeghar,Ecole normale superieure of setif - Messaoud Zeghar,الشرق,est,east
http://ens-ouargla.dz/,المدرسة العليا للأساتذة ورقلة,Ecole normale supérieure de Bou Saâda,Ecole normale superieure of Bou Saâda,الشرق,est,east
